GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007268	chemical synaptic transmission	64	46	36.58	0.1203	1	BP
GO:0010769	regulation of cell morphogenesis involve...	24	17	13.72	0.1204	1	BP
GO:0006793	phosphorus metabolic process	156	96	89.18	0.1215	1	BP
GO:0006796	phosphate-containing compound metabolic ...	156	96	89.18	0.1215	1	BP
GO:0051254	positive regulation of RNA metabolic pro...	95	60	54.31	0.1224	1	BP
GO:0008360	regulation of cell shape	7	6	4	0.1233	1	BP
GO:0090598	male anatomical structure morphogenesis	7	6	4	0.1233	1	BP
GO:0019319	hexose biosynthetic process	7	6	4	0.1233	1	BP
GO:0001656	metanephros development	7	6	4	0.1233	1	BP
GO:0050921	positive regulation of chemotaxis	7	6	4	0.1233	1	BP
GO:0048701	embryonic cranial skeleton morphogenesis	7	6	4	0.1233	1	BP
GO:0006094	gluconeogenesis	7	6	4	0.1233	1	BP
GO:0051481	negative regulation of cytosolic calcium...	7	6	4	0.1233	1	BP
GO:0009064	glutamine family amino acid metabolic pr...	7	6	4	0.1233	1	BP
GO:0042067	establishment of ommatidial planar polar...	7	6	4	0.1233	1	BP
GO:0061005	cell differentiation involved in kidney ...	7	6	4	0.1233	1	BP
GO:0060998	regulation of dendritic spine developmen...	7	6	4	0.1233	1	BP
GO:0009593	detection of chemical stimulus	7	6	4	0.1233	1	BP
GO:2000278	regulation of DNA biosynthetic process	7	6	4	0.1233	1	BP
GO:0090102	cochlea development	7	6	4	0.1233	1	BP
GO:0070207	protein homotrimerization	7	6	4	0.1233	1	BP
GO:0097711	ciliary basal body-plasma membrane docki...	7	6	4	0.1233	1	BP
GO:1903508	positive regulation of nucleic acid-temp...	90	57	51.45	0.1235	1	BP
GO:1902680	positive regulation of RNA biosynthetic ...	90	57	51.45	0.1235	1	BP
GO:0045893	positive regulation of DNA-templated tra...	90	57	51.45	0.1235	1	BP
GO:1903047	mitotic cell cycle process	55	36	31.44	0.1237	1	BP
GO:1901889	negative regulation of cell junction ass...	10	8	5.72	0.124	1	BP
GO:0072347	response to anesthetic	10	8	5.72	0.124	1	BP
GO:0099173	postsynapse organization	10	8	5.72	0.124	1	BP
GO:0106027	neuron projection organization	10	8	5.72	0.124	1	BP
GO:0048706	embryonic skeletal system development	10	8	5.72	0.124	1	BP
GO:0051341	regulation of oxidoreductase activity	10	8	5.72	0.124	1	BP
GO:0051492	regulation of stress fiber assembly	10	8	5.72	0.124	1	BP
