GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0042752	regulation of circadian rhythm	16	15	12.81	0.1388	1	BP
GO:0042221	response to chemical	235	194	188.14	0.1391	1	BP
GO:0098916	anterograde trans-synaptic signaling	64	55	51.24	0.1405	1	BP
GO:0099536	synaptic signaling	64	55	51.24	0.1405	1	BP
GO:0099537	trans-synaptic signaling	64	55	51.24	0.1405	1	BP
GO:0007268	chemical synaptic transmission	64	55	51.24	0.1405	1	BP
GO:0045944	positive regulation of transcription by ...	75	64	60.04	0.1439	1	BP
GO:0018193	peptidyl-amino acid modification	58	50	46.43	0.145	1	BP
GO:0035295	tube development	97	82	77.66	0.145	1	BP
GO:0007275	multicellular organism development	304	252	243.38	0.1464	1	BP
GO:0043549	regulation of kinase activity	52	45	41.63	0.1491	1	BP
GO:0043412	macromolecule modification	208	172	166.52	0.1495	1	BP
GO:0044282	small molecule catabolic process	22	20	17.61	0.1517	1	BP
GO:0051924	regulation of calcium ion transport	22	20	17.61	0.1517	1	BP
GO:0043405	regulation of MAP kinase activity	22	20	17.61	0.1517	1	BP
GO:0009267	cellular response to starvation	22	20	17.61	0.1517	1	BP
GO:0032956	regulation of actin cytoskeleton organiz...	22	20	17.61	0.1517	1	BP
GO:0071407	cellular response to organic cyclic comp...	40	35	32.02	0.1556	1	BP
GO:0031669	cellular response to nutrient levels	28	25	22.42	0.1564	1	BP
GO:0007623	circadian rhythm	28	25	22.42	0.1564	1	BP
GO:0032970	regulation of actin filament-based proce...	28	25	22.42	0.1564	1	BP
GO:0016358	dendrite development	28	25	22.42	0.1564	1	BP
GO:0010608	post-transcriptional regulation of gene ...	29	29	23.22	0.1565	1	BP
GO:0034248	regulation of cellular amide metabolic p...	29	29	23.22	0.1565	1	BP
GO:0019932	second-messenger-mediated signaling	34	30	27.22	0.1571	1	BP
GO:0030534	adult behavior	34	30	27.22	0.1571	1	BP
GO:0032989	cellular component morphogenesis	96	81	76.86	0.1574	1	BP
GO:0042325	regulation of phosphorylation	74	63	59.24	0.1575	1	BP
GO:0051130	positive regulation of cellular componen...	74	63	59.24	0.1575	1	BP
