gene	degree_all	degree_in	degree_out	clustering_coefficient	degree_centrality_all	degree_centrality_in	degree_centrality_out	betweenness_centrality	closeness_centrality	eigenvector_centrality	page_rank	assortative_coefficient	average_path_length	community_random_walk	module	connectivity	participation	role	cell_type
Nvec_vc1.1_XM_032381588.2	3	3	0	1	0.00251466890192791	0.00251466890192791	0	0		0.0414089456472419	0.000847182525874292	-0.254662342054629	0.52124246395806	6	0	-0.0387339945639058	0.444444444444444	Peripheral	cnidocyte
Nvec_vc1.1_XM_048733482.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001632492.3	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0339893167119796	0.000831235475876882	-0.254662342054629	0.52124246395806	11	8	-0.0652328073053438	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_001636475.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032386248.2	3	3	0	0.666666666666667	0.00251466890192791	0.00251466890192791	0	0		0.0867504207902012	0.000840379110392744	-0.254662342054629	0.52124246395806	11	5	-0.150829841041569	0.666666666666667	Connector	cnidocyte
Nvec_vc1.1_XM_032386238.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0246133420538923	0.000830078923140376	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001625380.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0377404578159683	0.000830629252164257	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032367375.2	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.059307205001841	0.000840243564749151	-0.254662342054629	0.52124246395806	11	0	-0.176723850197818	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_032367113.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0311768999349303	0.000830354087652317	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032367240.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032367198.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001641800.3	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0515671514106023	0.00083849670362499	-0.254662342054629	0.52124246395806	7	1	-0.104828483672193	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_048733220.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.057431131459082	0.000831454745700079	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048733845.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0278951209944113	0.000830216505396346	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032367371.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0443040156970062	0.000830904416676198	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_NVE7697	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0754809156319365	0.000832211448107915	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032383110.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0328177894051898	0.000830422878780302	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_v1g236890	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0344586788754493	0.000830491669908287	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001631013.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001631019.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0787626945724554	0.000832349030363885	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032381933.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
